Sub category 1:	sub category 2:	sub category 3:	sub category 4:	sub category 5:	sub category 6:	sub category 7:	ontology ID	label	parent class	exact synonym	exact match	close match	definition	comment	editors note	broad synonym	narrow synonym	cross refference	BCODMO master paramater	Entity subset	category subset
							ID	AL rdfs:label@en	SC %	AL oboInOwl:hasExactSynonym@en SPLIT=|	AI skos:exactMatch SPLIT=|	AI skos:closeMatch SPLIT=|	AL IAO:0000115@en	AL rdfs:comment@en	AL IAO:0000116@en	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasNarrowSynonym@en SPLIT=|	AI oboInOwl:hasDbXref SPLIT=|	AI oboInOwl:hasDbXref SPLIT=|	AI oboInOwl:inSubset	AI oboInOwl:inSubset
aluminium compound							CHEBI:33620	aluminium compound												http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
aluminium compound	aluminium oxide						CHEBI:30187	aluminium oxide	aluminium compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
aluminium compound	aluminium oxide	oxidoaluminate(1-)					CHEBI:30130	oxidoaluminate(1-)	aluminium oxide											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
aluminium compound	aluminium oxide	oxidoaluminium					CHEBI:30128	oxidoaluminium	aluminium oxide											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
aluminium compound	aluminium oxide	oxidoaluminium(1+)					CHEBI:30129	oxidoaluminium(1+)	aluminium oxide											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
antimony compound							CHEBI:36919	antimony compound												http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
antimony compound	antimony oxoanion						CHEBI:36921	antimony oxoanion	antimony compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
antimony compound	antimony oxoanion	antimonate(1-)					CHEBI:36923	antimonate(1-)	antimony oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
antimony compound	antimony oxoanion	antimonate(2-)					CHEBI:36924	antimonate(2-)	antimony oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
antimony compound	antimony oxoanion	antimonate(3-)					CHEBI:30295	antimonate(3-)	antimony oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
antimony compound	antimony oxoanion	antimonite					CHEBI:30297	antimonite	antimony oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
antimony compound	antimony hydride						CHEBI:36918	antimony hydride	antimony compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
antimony compound	antimony hydride	stibane					CHEBI:30288	stibane	antimony hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
antimony compound	antimony hydride	stibonium					CHEBI:30292	stibonium	antimony hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
antimony compound	antimony hydride	stiborane					CHEBI:36925	stiborane	antimony hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
antimony compound	antimony hydride	trihydridoantimonate(.1-)					CHEBI:30289	trihydridoantimonate(.1-)	antimony hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
antimony compound	antimony hydride	trihydridoantimony(.1+)					CHEBI:30290	trihydridoantimony(.1+)	antimony hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
antimony compound	antimony oxoacid						CHEBI:36920	antimony oxoacid	antimony compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
antimony compound	antimony oxoacid	antimonic acid					CHEBI:30294	antimonic acid	antimony oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
antimony compound	antimony oxoacid	antimonous acid					CHEBI:49870	antimonous acid	antimony oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
antimony compound	antimony oxoacid	stibinic acid					CHEBI:30300	stibinic acid	antimony oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
antimony compound	antimony oxoacid	stibinous acid					CHEBI:30301	stibinous acid	antimony oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
antimony compound	antimony oxoacid	stibonic acid					CHEBI:30298	stibonic acid	antimony oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
antimony compound	antimony oxoacid	stibonous acid					CHEBI:30299	stibonous acid	antimony oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound							CHEBI:22632	arsenic compound												http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic oxoanion						CHEBI:35776	arsenic oxoanion	arsenic compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic oxoanion	arsenate ion					CHEBI:22629	arsenate ion	arsenic oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic oxoanion	arsenate ion	arsenate(1-)				CHEBI:48600	arsenate(1-)	arsenate ion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic oxoanion	arsenate ion	arsenate(2-)				CHEBI:48597	arsenate(2-)	arsenate ion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic oxoanion	arsenate ion	arsenate(3-)				CHEBI:29125	arsenate(3-)	arsenate ion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic oxoanion	arsenite ion					CHEBI:22633	arsenite ion	arsenic oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
