Matrix	Sub Matrix	Sub Matrix	ontology ID	label	parent class	exact synonym	exact match	close match	definition	comment	editors note	broad synonym	narrow synonym	cross refference	BCODMO master paramater	Entity subset	category subset
			ID	AL rdfs:label@en	SC %	AL oboInOwl:hasExactSynonym@en SPLIT=|	AI skos:exactMatch SPLIT=|	AI skos:closeMatch SPLIT=|	AL IAO:0000115@en	AL rdfs:comment@en	AL IAO:0000116@en	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasNarrowSynonym@en SPLIT=|	AI oboInOwl:hasDbXref SPLIT=|	AI oboInOwl:hasDbXref SPLIT=|	AI oboInOwl:inSubset	AI oboInOwl:inSubset
bloom			BSM:0110001	bloom												http://bcodmo/sm#matrix	http://bcodmo/sm#context
bloom	algal bloom		ENVO:2000004	algal bloom	bloom											http://bcodmo/sm#matrix	http://bcodmo/sm#context
bloom	algal bloom	freshwater algal bloom	ENVO:2000005	freshwater algal bloom	bloom											http://bcodmo/sm#matrix	http://bcodmo/sm#context
bloom	algal bloom	marine algal bloom	ENVO:01000057	marine algal bloom	bloom											http://bcodmo/sm#matrix	http://bcodmo/sm#context
estuary layer			ENVO:01001301	estuary layer												http://bcodmo/sm#matrix	http://bcodmo/sm#context
estuary layer	estuarine coastal lower water column		ENVO:01001314	estuarine coastal lower water column												http://bcodmo/sm#matrix	http://bcodmo/sm#context
estuary layer	estuarine coastal pycnocline		ENVO:01001313	estuarine coastal pycnocline												http://bcodmo/sm#matrix	http://bcodmo/sm#context
estuary layer	estuarine coastal surface layer		ENVO:01001302	estuarine coastal surface layer												http://bcodmo/sm#matrix	http://bcodmo/sm#context
estuary layer	estuarine coastal upper water column		ENVO:01001312	estuarine coastal upper water column												http://bcodmo/sm#matrix	http://bcodmo/sm#context
estuary layer	estuarine open water lower water column		ENVO:01001322	estuarine open water lower water column												http://bcodmo/sm#matrix	http://bcodmo/sm#context
