Sub category 1:	sub category 2:	sub category 3:	ontology ID	label	parent class	exact synonym	exact match	close match	definition	comment	editors note	broad synonym	narrow synonym	cross refference	BCODMO master paramater	Entity subset	category subset
			ID	AL rdfs:label@en	SC %	AL oboInOwl:hasExactSynonym@en SPLIT=|	AI skos:exactMatch SPLIT=|	AI skos:closeMatch SPLIT=|	AL IAO:0000115@en	AL rdfs:comment@en	AL IAO:0000116@en	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasNarrowSynonym@en SPLIT=|	AI oboInOwl:hasDbXref SPLIT=|	AI oboInOwl:hasDbXref SPLIT=|	AI oboInOwl:inSubset	AI oboInOwl:inSubset
atmosphere			ENVO:01000811	atmosphere												http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
atmosphere	atmospheric column		ENVO:01000675	atmospheric column	atmosphere											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
atmosphere	atmospheric layer		ENVO:01000543	atmospheric layer	atmosphere											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
atmosphere	atmospheric layer	atmospheric boundary layer	ENVO:01000323	atmospheric boundary layer	atmospheric layer											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
atmosphere	atmospheric layer	exosphere	ENVO:01000546	exosphere	atmospheric layer											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
atmosphere	atmospheric layer	free atmosphere	ENVO:01001712	free atmosphere	atmospheric layer											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
atmosphere	atmospheric layer	frontal surface of a weather front	ENVO:01001672	frontal surface of a weather front	atmospheric layer											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
atmosphere	atmospheric layer	ionosphere	ENVO:01000545	ionosphere	atmospheric layer											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
atmosphere	atmospheric layer	mesosphere	ENVO:01000539	mesosphere	atmospheric layer											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
atmosphere	atmospheric layer	ozone layer	ENVO:01000542	ozone layer	atmospheric layer											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
atmosphere	atmospheric layer	stratosphere	ENVO:01000538	stratosphere	atmospheric layer											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
atmosphere	atmospheric layer	thermosphere	ENVO:01000541	thermosphere	atmospheric layer											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
atmosphere	atmospheric layer	troposphere	ENVO:01000540	troposphere	atmospheric layer											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
deep chlorophyll maximum layer			ENVO:01000326	deep chlorophyll maximum layer												http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
eddy field			ENVO:01000353	eddy field												http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
electromagnetic radiation			ENVO:01001026	electromagnetic radiation												http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
electromagnetic radiation	infrared radiation		ENVO:21001214	infrared radiation	electromagnetic radiation											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
electromagnetic radiation	X-ray radiation		ENVO:21001217	X-ray radiation	electromagnetic radiation											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
electromagnetic radiation	gamma-ray radiation		ENVO:21001218	gamma-ray radiation	electromagnetic radiation											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
electromagnetic radiation	microwave radiation		ENVO:21001212	microwave radiation	electromagnetic radiation											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
electromagnetic radiation	stellar radiation		ENVO:01001211	stellar radiation	electromagnetic radiation											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
electromagnetic radiation	stellar radiation	photosynthetically active radiation	ENVO:01001864	photosynthetically active radiation	stellar radiation											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
electromagnetic radiation	radio wave radiation		ENVO:21001213	radio wave radiation	electromagnetic radiation											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
electromagnetic radiation	shortwave radiation		ENVO:01001861	shortwave radiation	electromagnetic radiation											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
electromagnetic radiation	ultraviolet radiation		ENVO:21001216	ultraviolet radiation	electromagnetic radiation											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
electromagnetic radiation	visible spectrum radiation		ENVO:21001215	visible spectrum radiation	electromagnetic radiation											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
estuary layer			ENVO:01001301	estuary layer												http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
fluid cline			ENVO:01000258	fluid cline												http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
fluid cline	marine cline		ENVO:01001676	marine cline												http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
