### BCODMO_SM element terms:
CHEBI:30151	#aluminide(1-)
CHEBI:37969	#aluminium-26 atom
CHEBI:37968	#aluminium-27 atom
CHEBI:37970	#aluminium-28 atom
CHEBI:33627	#aluminium(0)
CHEBI:30150	#aluminium(1+)
CHEBI:49470	#aluminium(3+)
CHEBI:33628	#aluminum
CHEBI:28984	#aluminum atom
CHEBI:60272	#aluminum valence
CHEBI:36922	#antimony
CHEBI:30513	#antimony atom
CHEBI:52624	#antimony-121 atom
CHEBI:52626	#antimony-123 atom
CHEBI:30304	#antimony(0)
CHEBI:49867	#antimony(3+)
CHEBI:49991	#argon
CHEBI:49475	#argon atom
CHEBI:49990	#argon valence
CHEBI:155827	#argon-39 atom
CHEBI:49474	#argon(0)
CHEBI:49992	#argon(1+)
CHEBI:35826	#arsenic
CHEBI:27563	#arsenic atom
CHEBI:35827	#arsenic(0)
CHEBI:35828	#arsenic(3+)
CHEBI:35829	#arsenic(5+)
CHEBI:29752	#arsenide(3-)
CHEBI:37134	#barium
CHEBI:32594	#barium atom
CHEBI:39126	#barium valence
CHEBI:32595	#barium(0)
CHEBI:37137	#barium(1+)
CHEBI:37136	#barium(2+)
CHEBI:33784	#beryllium
CHEBI:30501	#beryllium atom
CHEBI:39133	#beryllium valence
CHEBI:52628	#beryllium-9 atom
CHEBI:33783	#beryllium(0)
CHEBI:30503	#beryllium(1+)
CHEBI:30502	#beryllium(2+)
CHEBI:30166	#boride(1-)
CHEBI:30167	#boride(3-)
CHEBI:33609	#boron
CHEBI:27560	#boron atom
CHEBI:33610	#boron valence
CHEBI:77014	#boron-10 atom
CHEBI:52451	#boron-11 atom
CHEBI:30165	#boron(1+)
CHEBI:30168	#boron(3+)
CHEBI:15858	#bromide
CHEBI:36894	#bromine
CHEBI:22927	#bromine atom
CHEBI:52743	#bromine-79 atom
CHEBI:33117	#bromine(0)
CHEBI:36900	#bromine(1+)
CHEBI:37249	#cadmium
CHEBI:22977	#cadmium atom
CHEBI:52619	#cadmium-111 atom
CHEBI:52620	#cadmium-113 atom
CHEBI:35155	#calcium
CHEBI:22984	#calcium atom
CHEBI:29320	#calcium(0)
CHEBI:39099	#calcium(1+)
CHEBI:29108	#calcium(2+)
CHEBI:29435	#carbide(1-)
CHEBI:29434	#carbide(4-)
CHEBI:33415	#carbon
CHEBI:27594	#carbon atom
CHEBI:33419	#carbon valence
CHEBI:36930	#carbon-10 atom
CHEBI:36929	#carbon-11 atom
CHEBI:36931	#carbon-12 atom
CHEBI:36928	#carbon-13 atom
CHEBI:36927	#carbon-14 atom
CHEBI:33419	#carbon(0)
CHEBI:29436	#carbon(1+)
CHEBI:37265	#cerium
CHEBI:33369	#cerium atom
CHEBI:48782	#cerium(3+)
CHEBI:37264	#cerium(4+)
CHEBI:155919	#cesium
CHEBI:30514	#cesium atom
CHEBI:17996	#chloride
CHEBI:33431	#chlorine
CHEBI:23116	#chlorine atom
CHEBI:29311	#chlorine(0)
CHEBI:30120	#chlorine(1+)
CHEBI:155866	#chromium
CHEBI:28073	#chromium atom
CHEBI:50076	#chromium-51 atom
CHEBI:155865	#cobalt
CHEBI:30514	#cobalt atom
CHEBI:37404	#copper
CHEBI:28694	#copper atom
CHEBI:52630	#copper-63 atom
CHEBI:30052	#copper(0)
CHEBI:49552	#copper(1+)
CHEBI:29036	#copper(2+)
CHEBI:29037	#copper(3+)
CHEBI:29237	#deuterium atom
CHEBI:29303	#deuterium(0)
CHEBI:30117	#dialuminide(1-)
CHEBI:30116	#dialuminium
CHEBI:33621	#dialuminium(1+)
CHEBI:30303	#diantimony
CHEBI:35830	#diarsenic
CHEBI:35869	#diarsenic(1+)
CHEBI:51707	#diboron
CHEBI:51709	#diboron(4+)
CHEBI:30075	#dibromide(.1-)
CHEBI:29224	#dibromine
CHEBI:30074	#dibromine(.1+)
CHEBI:30082	#dicarbide(1.-)
CHEBI:30081	#dicarbide(2-)
CHEBI:30083	#dicarbon
CHEBI:30084	#dicarbon(1+)
CHEBI:29413	#dichloride(.1-)
CHEBI:29310	#dichlorine
CHEBI:29419	#dichlorine(.1+)
CHEBI:29294	#dideuterium
CHEBI:30238	#difluoride(.1-)
CHEBI:30236	#difluorine
CHEBI:30237	#difluorine(.1+)
CHEBI:33686	#dihelide(1-)
CHEBI:33685	#dihelium
CHEBI:33682	#dihelium(1+)
CHEBI:33684	#dihelium(2+)
CHEBI:18276	#dihydrogen
CHEBI:36898	#diiodide(.1-)
CHEBI:17606	#diiodine
CHEBI:36899	#diiodine(.1+)
CHEBI:25198	#dimercury(2+)
CHEBI:37238	#dimolybdenum
CHEBI:29277	#dinitride(2-)
CHEBI:29278	#dinitride(4-)
CHEBI:17997	#dinitrogen
CHEBI:29276	#dinitrogen(.1+)
CHEBI:29275	#dinitrogen(2+)
CHEBI:15379	#dioxygen
CHEBI:29372	#dioxygen(.1+)
CHEBI:29371	#dioxygen(2+)
CHEBI:33480	#diphosphide(.1-)
CHEBI:33479	#diphosphide(2-)
CHEBI:33472	#diphosphorus
CHEBI:33476	#diphosphorus(.1+)
CHEBI:29299	#diprotium
CHEBI:36905	#diselenium
CHEBI:30592	#disilicide(1-)
CHEBI:30590	#disilicon
CHEBI:30591	#disilicon(1+)
CHEBI:29395	#disulfide(.1-)
CHEBI:29396	#disulfide(2-)
CHEBI:29387	#disulfur
CHEBI:29397	#disulfur(.1+)
CHEBI:29298	#ditritium
CHEBI:50560	#diuranium
CHEBI:37256	#dizinc
